Episode,Reward,Steps,Epsilon,RouteLength(m),Delay(s)
423,-100,1,0.01,0,0.0
424,-105,6,0.01,0,0.0
425,-100,1,0.01,0,0.0
426,-113,14,0.01,0,0.0
427,-11,11,0.01,0,0.0
428,-108,9,0.01,0,0.0
429,-100,1,0.01,0,0.0
430,-100,1,0.01,0,0.0
431,-109,10,0.01,0,0.0
432,-100,1,0.01,0,0.0
433,-4,4,0.01,0,0.0
434,-9,9,0.01,0,0.0
435,-105,6,0.01,0,0.0
436,-10,10,0.01,0,0.0
437,-111,12,0.01,0,0.0
438,-117,18,0.01,0,0.0
439,-10,10,0.01,0,0.0
440,-106,7,0.01,0,0.0
441,-104,5,0.01,0,0.0
442,-111,12,0.01,0,0.0
443,-122,23,0.01,0,0.0
444,-101,2,0.01,0,0.0
445,-107,8,0.01,0,0.0
446,-106,7,0.01,0,0.0
447,-7,7,0.01,0,0.0
448,-1,1,0.01,0,0.0
449,-100,1,0.01,0,0.0
450,-108,9,0.01,0,0.0
451,-105,6,0.01,0,0.0
452,-107,8,0.01,0,0.0
453,-104,5,0.01,0,0.0
454,-110,11,0.01,0,0.0
455,-4,4,0.01,0,0.0
456,-5,5,0.01,0,0.0
457,-100,1,0.01,0,0.0
458,-104,5,0.01,0,0.0
459,-103,4,0.01,0,0.0
460,-119,20,0.01,0,0.0
461,-109,10,0.01,0,0.0
462,-107,8,0.01,0,0.0
463,-100,1,0.01,0,0.0
464,-107,8,0.01,0,0.0
465,-9,9,0.01,0,0.0
466,-9,9,0.01,0,0.0
467,-110,11,0.01,0,0.0
468,-100,1,0.01,0,0.0
469,-14,14,0.01,0,0.0
470,-106,7,0.01,0,0.0
471,-111,12,0.01,0,0.0
472,-18,18,0.01,0,0.0
473,-11,11,0.01,0,0.0
474,-100,1,0.01,0,0.0
475,-119,20,0.01,0,0.0
476,-100,1,0.01,0,0.0
477,-110,11,0.01,0,0.0
478,-102,3,0.01,0,0.0
479,-100,1,0.01,0,0.0
480,-8,8,0.01,0,0.0
481,-106,7,0.01,0,0.0
482,-8,8,0.01,0,0.0
483,-115,16,0.01,0,0.0
484,-111,12,0.01,0,0.0
485,-10,10,0.01,0,0.0
486,-102,3,0.01,0,0.0
487,-11,11,0.01,0,0.0
488,-4,4,0.01,0,0.0
489,-111,12,0.01,0,0.0
490,-27,27,0.01,0,0.0
491,-100,1,0.01,0,0.0
492,-19,19,0.01,0,0.0
493,-10,10,0.01,0,0.0
494,-104,5,0.01,0,0.0
495,-17,17,0.01,0,0.0
496,-2,2,0.01,0,0.0
497,-106,7,0.01,0,0.0
498,-108,9,0.01,0,0.0
499,-2,2,0.01,0,0.0
500,-4,4,0.01,0,0.0
501,-1,1,0.01,0,0.0
502,-114,15,0.01,0,0.0
503,-1,1,0.01,0,0.0
504,-7,7,0.01,0,0.0
505,-107,8,0.01,0,0.0
506,-109,10,0.01,0,0.0
507,-100,1,0.01,0,0.0
508,-1,1,0.01,0,0.0
509,-108,9,0.01,0,0.0
510,-103,4,0.01,0,0.0
511,-107,8,0.01,0,0.0
512,-109,10,0.01,0,0.0
513,-124,25,0.01,0,0.0
514,-2,2,0.01,0,0.0
515,-111,12,0.01,0,0.0
516,-114,15,0.01,0,0.0
517,-11,11,0.01,0,0.0
518,-106,7,0.01,0,0.0
519,-101,2,0.01,0,0.0
520,-100,1,0.01,0,0.0
521,-13,13,0.01,0,0.0
522,-107,8,0.01,0,0.0
523,-110,11,0.01,0,0.0
524,-106,7,0.01,0,0.0
525,-106,7,0.01,0,0.0
526,-26,26,0.01,0,0.0
527,-14,14,0.01,0,0.0
528,-10,10,0.01,0,0.0
529,-119,20,0.01,0,0.0
530,-100,1,0.01,0,0.0
531,-102,3,0.01,0,0.0
532,-100,1,0.01,0,0.0
533,-117,18,0.01,0,0.0
534,-102,3,0.01,0,0.0
535,-106,7,0.01,0,0.0
536,-115,16,0.01,0,0.0
537,-100,1,0.01,0,0.0
