episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,heuristic_used,total_nodes_expanded,max_frontier_size,final_heuristic_cost,final_total_cost,search_depth,num_edges_visited
60,ChandniChowk,48532953#2,1362943969#2,1,117.0,36,1095.7800000000002,-48533140,117,True,straight_line,46,44,0.0,1095.7800000000002,36,88
61,ChandniChowk,-1041351321#0,-681792944#3,1,117.0,6,526.5400000000001,-48533140,117,True,straight_line,8,8,0.0,526.5400000000001,6,14
62,ChandniChowk,-1070560848#5,798855529#3,1,117.0,15,582.48,-48533140,117,True,straight_line,29,15,0.0,582.48,15,42
63,ChandniChowk,755068998#0,681792944#2,1,117.0,19,757.44,-48533140,117,True,straight_line,53,19,0.0,757.44,19,72
64,ChandniChowk,-48533136#1,-1184991409#1,1,117.0,11,282.73,-48533140,117,True,straight_line,17,15,0.0,282.73,11,29
65,ChandniChowk,755068997,80940711#1,1,117.0,24,935.22,-48533140,117,True,straight_line,51,20,0.0,935.22,24,68
66,ChandniChowk,-1377215179#0,1079742367#0,1,117.0,15,597.8700000000001,-48533140,117,True,straight_line,16,13,0.0,597.8700000000001,15,27
67,ChandniChowk,-1186764830,44830361#3,1,117.0,7,757.9399999999999,-48533140,117,True,straight_line,16,8,0.0,757.9399999999999,7,21
68,ChandniChowk,44923693#3,-264592548#21,1,117.0,4,205.53,-48533140,117,True,straight_line,5,6,0.0,205.53,4,9
69,ChandniChowk,1076314748,169826205#3,1,117.0,17,712.8,-48533140,117,True,straight_line,31,13,0.0,712.8,17,41
70,ChandniChowk,-44610937#2,755068996,1,117.0,14,636.22,-48533140,117,True,straight_line,15,14,0.0,636.22,14,27
71,ChandniChowk,-82946100#0,-423608341,1,117.0,6,265.18,-48533140,117,True,straight_line,7,7,0.0,265.18,6,12
72,ChandniChowk,1377217246#1,44141522#3,1,117.0,25,1068.32,-48533140,117,True,straight_line,74,34,0.0,1068.32,25,107
73,ChandniChowk,-320348721#3,-48533153#3,1,117.0,41,1864.2200000000003,-48533140,117,True,straight_line,88,40,0.0,1864.2200000000003,41,126
74,ChandniChowk,991702391#0,320348713#1,1,117.0,15,927.5699999999999,-48533140,117,True,straight_line,16,13,0.0,927.5699999999999,15,27
75,ChandniChowk,-82946148#0,127661012#10,1,117.0,31,1242.28,-48533140,117,True,straight_line,261,34,0.0,1242.28,31,293
76,ChandniChowk,-260320118,-44141299#1,1,117.0,21,691.2199999999999,-48533140,117,True,straight_line,43,19,0.0,691.2199999999999,21,60
77,ChandniChowk,-693912719#6,264592551#0,1,117.0,28,1154.1000000000001,-48533140,117,True,straight_line,50,37,0.0,1154.1000000000001,28,85
78,ChandniChowk,-44141299#4,-44141146#6,1,117.0,11,237.04999999999995,-48533140,117,True,straight_line,12,13,0.0,237.04999999999995,11,23
79,ChandniChowk,-127661018#0,293420649#1,1,117.0,21,1117.7399999999998,-48533140,117,True,straight_line,46,13,0.0,1117.7399999999998,21,57
80,ChandniChowk,-44141299#2,77617205#7,1,117.0,9,549.3299999999999,-48533140,117,True,straight_line,13,9,0.0,549.3299999999999,9,20
81,ChandniChowk,696306282#0,-1364873685#0,1,117.0,15,653.4600000000002,-48533140,117,True,straight_line,22,17,0.0,653.4600000000002,15,37
