episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,heuristic_used,total_nodes_expanded,max_frontier_size,final_heuristic_cost,final_total_cost,search_depth,num_edges_visited
20,Safdarjung,-1239030821#0,-292025078#2,1,0,23,1421.65,,0,False,straight_line,156,40,0.0,1421.65,23,195
21,Safdarjung,-1306324405,-292027344,1,0,14,453.65,,0,False,straight_line,15,22,0.0,453.65,14,35
22,Safdarjung,292023622,-682844000#0,1,0,25,757.4499999999999,,0,False,straight_line,108,29,0.0,757.4499999999999,25,132
23,Safdarjung,-46108379#10,-292024872#0,1,0,40,1594.3200000000002,,0,False,straight_line,197,52,0.0,1594.3200000000002,40,244
24,Safdarjung,-292025667#1,684948940#0,1,0,44,1600.1399999999999,,0,False,straight_line,130,45,0.0,1600.1399999999999,44,174
25,Safdarjung,292023821#0,291868047#1,1,0,2,20.0,,0,False,straight_line,3,5,0.0,20.0,2,6
26,Safdarjung,-291877904#3,292027010#3,1,0,12,528.05,,0,False,straight_line,24,25,0.0,528.05,12,47
27,Safdarjung,-291877163#0,-686638462#5,1,0,34,989.4100000000002,,0,False,straight_line,73,40,0.0,989.4100000000002,34,112
28,Safdarjung,924403692,292023820,1,0,26,754.5400000000001,,0,False,straight_line,78,30,0.0,754.5400000000001,26,107
29,Safdarjung,1307402760,292024876#3,1,0,38,1389.57,,0,False,straight_line,113,37,0.0,1389.57,38,149
30,Safdarjung,46108373#3,31756505#5,1,0,42,2294.4699999999993,,0,False,straight_line,439,44,0.0,2294.4699999999993,42,466
31,Safdarjung,-292024872#6,-1184582476#0,1,0,14,787.91,,0,False,straight_line,31,20,0.0,787.91,14,50
32,Safdarjung,-317580221#0,-292027017,1,0,14,526.43,,0,False,straight_line,15,18,0.0,526.43,14,31
33,Safdarjung,-292024662#1,686633494#0,1,0,5,130.1,,0,False,straight_line,6,7,0.0,130.1,5,11
34,Safdarjung,579272354#0,-44680203#5,1,0,46,1867.21,,0,False,straight_line,272,70,0.0,1867.21,46,337
35,Safdarjung,292024329#1,-773571759,1,0,23,762.8799999999999,,0,False,straight_line,91,27,0.0,762.8799999999999,23,117
36,Safdarjung,605698329#2,1184127904,1,0,10,601.1899999999998,,0,False,straight_line,16,13,0.0,601.1899999999998,10,27
38,Safdarjung,1365044689,-292027013#0,1,0,32,1060.47,,0,False,straight_line,74,44,0.0,1060.47,32,116
39,Safdarjung,164802174#5,605695087#9,1,0,8,233.71,,0,False,straight_line,12,8,0.0,233.71,8,19
40,Safdarjung,-686638462#6,-292024876#1,1,0,29,1667.49,,0,False,straight_line,145,49,0.0,1667.49,29,193
41,Safdarjung,997648749#3,1237199969,1,0,15,789.9499999999998,,0,False,straight_line,73,18,0.0,789.9499999999998,15,88
42,Safdarjung,-1246774351,-1185231635,1,0,5,93.14999999999999,,0,False,straight_line,6,7,0.0,93.14999999999999,5,11
43,Safdarjung,-1306335976,292023488#0,1,0,13,645.42,,0,False,straight_line,43,16,0.0,645.42,13,57
44,Safdarjung,36326993#1,1080439109,1,0,22,647.2900000000002,,0,False,straight_line,37,24,0.0,647.2900000000002,22,59
45,Safdarjung,-1185258350,-686646774#1,1,0,18,299.58,,0,False,straight_line,21,19,0.0,299.58,18,38
46,Safdarjung,997643075,1246774350,1,0,23,435.53,,0,False,straight_line,39,18,0.0,435.53,23,56
47,Safdarjung,773057400#0,46108379#8,1,0,10,211.36,,0,False,straight_line,11,11,0.0,211.36,10,20
48,Safdarjung,-111218026#0,292025685#1,1,0,5,460.35,,0,False,straight_line,18,11,0.0,460.35,5,26
49,Safdarjung,292024872#5,1246781007,1,0,8,327.18,,0,False,straight_line,17,14,0.0,327.18,8,29
50,Safdarjung,-292025667#1,292023821#0,1,0,30,859.7200000000003,,0,False,straight_line,36,31,0.0,859.7200000000003,30,65
