episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,heuristic_used,total_nodes_expanded,max_frontier_size,final_heuristic_cost,final_total_cost,search_depth,num_edges_visited
54,ChandniChowk,1070560846,80940712,1,630.0,11,334.45,80940712,630,True,Euclidean,99,27,334.25,334.25,27,11
55,ChandniChowk,744801990,-44610966,1,645.0,22,1286.86,-44610966,645,True,Euclidean,782,63,1024.55,1024.55,41,22
56,ChandniChowk,1128268559,-320348692,1,1000.0,33,1173.5299999999997,-320348717#2,1000,False,Euclidean,728,69,1068.9199999999998,1068.9199999999998,46,33
57,ChandniChowk,77617256#1,744801990,1,571.0,19,1067.3,,571,False,Euclidean,407,46,1019.29,1019.29,28,19
58,ChandniChowk,-48533128#2,320348678#4,1,1000.0,35,1396.49,991702391#5,1000,False,Euclidean,783,44,1390.06,1390.06,52,35
59,ChandniChowk,264615171#3,-267447983#2,1,1000.0,43,1752.36,-1067871272,1000,False,Euclidean,650,43,1713.55,1713.55,43,43
60,ChandniChowk,48532953#2,1362943969#2,1,791.0,43,1059.5100000000004,1362943969#2,791,True,Euclidean,621,48,1057.6100000000004,1057.6100000000004,47,43
61,ChandniChowk,-1041351321#0,-681792944#3,1,682.0,9,614.57,-681792944#3,682,True,Euclidean,156,29,589.85,589.85,25,9
62,ChandniChowk,-1070560848#5,798855529#3,1,1000.0,17,620.7000000000003,-82946119#3,1000,False,Euclidean,248,48,579.5100000000002,579.5100000000002,33,17
63,ChandniChowk,755068998#0,681792944#2,1,1000.0,23,736.35,-681792944#3,1000,False,Euclidean,367,59,651.34,651.34,31,23
64,ChandniChowk,-48533136#1,-1184991409#1,1,989.0,17,187.59,-1184991409#1,989,True,Euclidean,82,26,174.32,174.32,20,17
65,ChandniChowk,755068997,80940711#1,1,1000.0,31,1198.1399999999999,44141357#12,1000,False,Euclidean,747,65,1017.4699999999999,1017.4699999999999,41,31
66,ChandniChowk,-1377215179#0,1079742367#0,1,1000.0,14,568.1200000000001,-1079742367#1,1000,False,Euclidean,249,34,546.5300000000001,546.5300000000001,24,14
67,ChandniChowk,-1186764830,44830361#3,1,791.0,10,3208.75,44830361#3,791,True,Euclidean,872,47,1988.53,1988.53,51,10
68,ChandniChowk,44923693#3,-264592548#21,1,716.0,7,274.0,-264592548#21,716,True,Euclidean,23,14,247.16,247.16,7,7
69,ChandniChowk,1076314748,169826205#3,1,1000.0,20,732.6700000000002,169826195#1,1000,False,Euclidean,387,44,699.2000000000002,699.2000000000002,36,20
70,ChandniChowk,-44610937#2,755068996,1,789.0,19,807.27,755068996,789,True,Euclidean,140,31,748.74,748.74,19,19
71,ChandniChowk,-82946100#0,-423608341,1,1000.0,3,282.21999999999997,82946112,1000,False,Euclidean,55,25,252.63,252.63,11,3
72,ChandniChowk,1377217246#1,44141522#3,1,1000.0,39,1645.5400000000002,-264592555#1,1000,False,Euclidean,857,68,1264.8500000000001,1264.8500000000001,41,39
73,ChandniChowk,-320348721#3,-48533153#3,1,995.0,44,1828.1200000000001,-48533153#3,995,True,Euclidean,774,50,1824.3600000000001,1824.3600000000001,44,44
74,ChandniChowk,991702391#0,320348713#1,1,1000.0,16,1247.33,423608337#2,1000,False,Euclidean,687,52,1014.83,1014.83,49,16
75,ChandniChowk,-82946148#0,127661012#10,1,1000.0,16,437.56,44141357#10,1000,False,Euclidean,198,31,437.28000000000003,437.28000000000003,22,16
76,ChandniChowk,-260320118,-44141299#1,1,1000.0,20,567.04,44141357#11,1000,False,Euclidean,261,54,515.15,515.15,27,20
77,ChandniChowk,-693912719#6,264592551#0,1,1000.0,36,1066.9200000000003,-264592551#1,1000,False,Euclidean,624,46,1066.7200000000003,1066.7200000000003,48,36
78,ChandniChowk,-44141299#4,-44141146#6,1,822.0,12,252.80999999999995,-44141146#6,822,True,Euclidean,84,27,239.04999999999995,239.04999999999995,15,12
79,ChandniChowk,-127661018#0,293420649#1,1,1000.0,20,918.9399999999999,-253134120#4,1000,False,Euclidean,562,70,911.2199999999999,911.2199999999999,33,20
80,ChandniChowk,-44141299#2,77617205#7,1,869.0,12,1061.69,77617205#7,869,True,Euclidean,666,60,858.6400000000001,858.6400000000001,41,12
81,ChandniChowk,696306282#0,-1364873685#0,1,1000.0,22,584.2600000000002,82946096#4,1000,False,Euclidean,207,32,584.0600000000002,584.0600000000002,24,22
82,ChandniChowk,-44141435#5,320348726#0,1,1000.0,7,647.79,-44923693#1,1000,False,Euclidean,137,35,404.59000000000003,404.59000000000003,15,7
83,ChandniChowk,-423608341,-264592548#8,1,1000.0,24,758.4900000000001,264592548#7,1000,False,Euclidean,569,71,757.0100000000001,757.0100000000001,33,24
84,ChandniChowk,80940694#0,253134120#2,1,1000.0,12,626.03,80940694#8,1000,False,Euclidean,203,38,543.53,543.53,19,12
85,ChandniChowk,1076266783#0,48533127#0,1,1000.0,30,1064.96,1181124061#6,1000,False,Euclidean,463,68,1062.5900000000001,1062.5900000000001,36,30
86,ChandniChowk,48533153#4,-320348717#10,1,1000.0,30,972.7399999999999,:cluster_12059085129_560825530_0,1000,False,Euclidean,517,47,970.0899999999999,970.0899999999999,42,30
87,ChandniChowk,-169826205#3,-82946139#1,1,1000.0,28,1196.21,82946139#0,1000,False,Euclidean,372,39,1092.26,1092.26,36,28
88,ChandniChowk,-82946100#1,1076057774,1,1000.0,33,1475.07,320348726#1,1000,False,Euclidean,856,74,1463.61,1463.61,46,33
89,ChandniChowk,44141517#2,360271994#0,1,1000.0,27,1105.7100000000003,:560825529_7,1000,False,Euclidean,530,43,1060.8100000000002,1060.8100000000002,47,27
90,ChandniChowk,82946119#4,-169826220#0,1,1000.0,18,1158.94,-82946096#4,1000,False,Euclidean,796,66,997.74,997.74,44,18
91,ChandniChowk,-798855531#2,-693912721#0,1,1000.0,18,604.88,-693912721#2,1000,False,Euclidean,370,68,585.3,585.3,31,18
92,ChandniChowk,696306283#1,-44141545#10,1,984.0,15,406.4900000000001,-44141545#10,984,True,Euclidean,109,23,404.5200000000001,404.5200000000001,22,15
93,ChandniChowk,-320348716#1,1070560845#0,1,1000.0,14,817.1400000000001,1181124061#6,1000,False,Euclidean,271,53,808.4100000000001,808.4100000000001,22,14
94,ChandniChowk,-82946096#3,-48532953#1,1,1000.0,37,723.5500000000002,1150383464,1000,False,Euclidean,562,58,720.4600000000002,720.4600000000002,37,37
95,ChandniChowk,-44141529#1,798855524#2,1,1000.0,18,662.24,755793906#0,1000,False,Euclidean,312,53,546.9200000000001,546.9200000000001,21,18
96,ChandniChowk,1041351325,720102664#1,1,1000.0,50,1476.1199999999997,-264592548#2,1000,False,Euclidean,727,51,1394.8099999999997,1394.8099999999997,61,50
97,ChandniChowk,169826205#4,-1080170955,1,1000.0,8,889.23,-169826196,1000,False,Euclidean,133,24,662.02,662.02,24,8
98,ChandniChowk,991702391#6,693912717#0,1,991.0,15,472.91,,991,False,Euclidean,115,30,459.8,459.8,19,15
