episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,nodes_expanded,search_depth,max_frontier_size,error
83,Safdarjung,-924403692,1184615056,1,762.0,28,1011.9200000000001,686678115#0,762,True,30,26,4,
84,Safdarjung,292027010#0,292024872#1,1,431.0,17,912.3799999999999,292024872#0,431,True,18,16,4,
85,Safdarjung,-686651418#0,-46108373#7,1,883.0,47,1916.2299999999998,-46108373#8,883,True,51,43,4,
86,Safdarjung,46108379#9,-292025667#0,1,170.0,23,1390.23,292025667#0,170,True,23,23,3,
87,Safdarjung,-292023781#5,1136644106#0,1,136.0,32,1234.6100000000001,1203038225#3,136,True,32,32,4,
88,Safdarjung,-776771535#1,-292027344,1,394.0,12,508.56000000000006,-292027022#2,394,True,13,11,4,
89,Safdarjung,-292025078#1,682844000#1,1,1000.0,89,3381.4300000000003,292027392,1000,False,102,76,4,
90,Safdarjung,1080439108,46108379#8,1,176.0,28,976.4200000000002,46108379#7,176,True,28,28,4,
91,Safdarjung,1306326479#1,-1185237194#2,1,27.0,5,183.72000000000003,1185237194#2,27,True,5,5,4,
92,Safdarjung,997648749#5,44716380#4,1,78.0,23,844.5999999999999,44716380#3,78,True,23,23,4,
93,Safdarjung,46108375#1,-292023488#1,1,54.0,15,398.05999999999995,-291877903#1,54,True,15,15,4,
94,Safdarjung,1185227773,-292024872#6,1,1000.0,31,1637.91,1306335974#1,1000,False,37,25,4,
95,Safdarjung,-686646774#1,-1190516864,1,86.0,24,787.38,292024664#0,86,True,24,24,3,
96,Safdarjung,-605696841#1,80515444#5,1,873.0,52,3074.1799999999994,80515444#4,873,True,57,47,4,
97,Safdarjung,-292025665,35152830#1-AddedOffRampEdge,1,1000.0,151,6660.340000000002,-164802174#0,1000,False,200,102,4,
98,Safdarjung,111218029#2,1080512081#1,1,501.0,30,1193.4199999999998,-1185258350,501,True,31,29,4,
99,Safdarjung,686651418#0,994832901,1,1000.0,21,1584.57,423755531,1000,False,28,14,4,
